182 [D loss: 1.991697, acc.: 85.94%, op_acc: 37.50%] [G loss: 3.986082]
183 [D loss: 2.053277, acc.: 84.38%, op_acc: 39.06%] [G loss: 3.578452]
184 [D loss: 1.999271, acc.: 87.50%, op_acc: 42.19%] [G loss: 3.765035]
185 [D loss: 1.879593, acc.: 98.44%, op_acc: 26.56%] [G loss: 3.480994]
186 [D loss: 1.974315, acc.: 92.19%, op_acc: 35.94%] [G loss: 3.596346]
187 [D loss: 2.053113, acc.: 82.81%, op_acc: 40.62%] [G loss: 3.681816]
188 [D loss: 1.930114, acc.: 89.06%, op_acc: 45.31%] [G loss: 3.985486]
189 [D loss: 1.957785, acc.: 90.62%, op_acc: 39.06%] [G loss: 3.725205]
190 [D loss: 2.143550, acc.: 85.94%, op_acc: 35.94%] [G loss: 3.990349]
191 [D loss: 2.085607, acc.: 92.19%, op_acc: 31.25%] [G loss: 4.094594]
192 [D loss: 2.023991, acc.: 93.75%, op_acc: 32.81%] [G loss: 3.852480]
193 [D loss: 1.903613, acc.: 95.31%, op_acc: 35.94%] [G loss: 3.567370]
194 [D loss: 1.926399, acc.: 89.06%, op_acc: 39.06%] [G loss: 4.123599]
195 [D loss: 2.012590, acc.: 92.19%, op_acc: 37.50%] [G loss: 4.248999]
196 [D loss: 1.755974, acc.: 98.44%, op_acc: 45.31%] [G loss: 3.905725]
197 [D loss: 1.777727, acc.: 95.31%, op_acc: 43.75%] [G loss: 3.798391]
198 [D loss: 1.881473, acc.: 93.75%, op_acc: 37.50%] [G loss: 3.898247]
199 [D loss: 1.800056, acc.: 95.31%, op_acc: 48.44%] [G loss: 4.165557]
200 [D loss: 1.833436, acc.: 98.44%, op_acc: 34.38%] [G loss: 3.796430]
201 [D loss: 1.953303, acc.: 95.31%, op_acc: 37.50%] [G loss: 3.610125]
202 [D loss: 2.247730, acc.: 73.44%, op_acc: 37.50%] [G loss: 3.271936]
203 [D loss: 2.335148, acc.: 71.88%, op_acc: 34.38%] [G loss: 3.035548]
204 [D loss: 2.326664, acc.: 65.62%, op_acc: 40.62%] [G loss: 3.281065]
205 [D loss: 1.945208, acc.: 75.00%, op_acc: 53.12%] [G loss: 2.831752]
206 [D loss: 1.961812, acc.: 78.12%, op_acc: 51.56%] [G loss: 2.680643]
207 [D loss: 2.082047, acc.: 76.56%, op_acc: 43.75%] [G loss: 3.151684]
208 [D loss: 2.223048, acc.: 78.12%, op_acc: 34.38%] [G loss: 3.081763]
209 [D loss: 2.150202, acc.: 68.75%, op_acc: 37.50%] [G loss: 2.640708]
210 [D loss: 2.008910, acc.: 76.56%, op_acc: 48.44%] [G loss: 2.791119]
211 [D loss: 2.223766, acc.: 73.44%, op_acc: 43.75%] [G loss: 2.892618]
212 [D loss: 1.994878, acc.: 79.69%, op_acc: 57.81%] [G loss: 3.004195]
213 [D loss: 2.235034, acc.: 68.75%, op_acc: 43.75%] [G loss: 3.019377]
214 [D loss: 2.039536, acc.: 76.56%, op_acc: 42.19%] [G loss: 3.329236]
215 [D loss: 2.002124, acc.: 79.69%, op_acc: 43.75%] [G loss: 3.504194]
216 [D loss: 1.960733, acc.: 85.94%, op_acc: 40.62%] [G loss: 3.292801]
217 [D loss: 2.089891, acc.: 82.81%, op_acc: 37.50%] [G loss: 3.109791]
218 [D loss: 2.244521, acc.: 76.56%, op_acc: 37.50%] [G loss: 3.286941]
219 [D loss: 2.300233, acc.: 84.38%, op_acc: 31.25%] [G loss: 3.506092]
220 [D loss: 1.999594, acc.: 75.00%, op_acc: 45.31%] [G loss: 3.433595]
221 [D loss: 1.905230, acc.: 87.50%, op_acc: 48.44%] [G loss: 3.384859]
222 [D loss: 2.182072, acc.: 87.50%, op_acc: 37.50%] [G loss: 3.552083]
223 [D loss: 2.102987, acc.: 65.62%, op_acc: 48.44%] [G loss: 3.306504]
224 [D loss: 1.964507, acc.: 82.81%, op_acc: 51.56%] [G loss: 3.436263]
225 [D loss: 1.948632, acc.: 84.38%, op_acc: 50.00%] [G loss: 3.424594]
226 [D loss: 1.954404, acc.: 82.81%, op_acc: 48.44%] [G loss: 3.258733]
227 [D loss: 2.003099, acc.: 87.50%, op_acc: 34.38%] [G loss: 3.000181]
228 [D loss: 1.998068, acc.: 84.38%, op_acc: 50.00%] [G loss: 3.283976]
229 [D loss: 1.953355, acc.: 87.50%, op_acc: 39.06%] [G loss: 3.260138]
230 [D loss: 1.990051, acc.: 73.44%, op_acc: 46.88%] [G loss: 3.225257]
231 [D loss: 1.860208, acc.: 85.94%, op_acc: 53.12%] [G loss: 3.434047]
232 [D loss: 2.047784, acc.: 90.62%, op_acc: 37.50%] [G loss: 3.563990]
233 [D loss: 1.862572, acc.: 85.94%, op_acc: 51.56%] [G loss: 3.011746]
234 [D loss: 1.924377, acc.: 81.25%, op_acc: 43.75%] [G loss: 3.337755]
235 [D loss: 2.001307, acc.: 75.00%, op_acc: 31.25%] [G loss: 3.342647]
236 [D loss: 1.852112, acc.: 81.25%, op_acc: 43.75%] [G loss: 3.577276]
237 [D loss: 2.305115, acc.: 78.12%, op_acc: 39.06%] [G loss: 3.617938]
238 [D loss: 1.996893, acc.: 82.81%, op_acc: 34.38%] [G loss: 3.313335]
239 [D loss: 1.939123, acc.: 92.19%, op_acc: 43.75%] [G loss: 3.148003]
240 [D loss: 1.843343, acc.: 87.50%, op_acc: 35.94%] [G loss: 3.767960]
241 [D loss: 1.813977, acc.: 75.00%, op_acc: 48.44%] [G loss: 2.723412]
242 [D loss: 2.047524, acc.: 78.12%, op_acc: 31.25%] [G loss: 2.968897]
243 [D loss: 1.967720, acc.: 79.69%, op_acc: 42.19%] [G loss: 3.099544]
244 [D loss: 1.942357, acc.: 82.81%, op_acc: 50.00%] [G loss: 3.157652]
245 [D loss: 2.103233, acc.: 84.38%, op_acc: 50.00%] [G loss: 2.797851]
246 [D loss: 1.885140, acc.: 85.94%, op_acc: 46.88%] [G loss: 3.435198]
247 [D loss: 2.114835, acc.: 71.88%, op_acc: 46.88%] [G loss: 2.936004]
248 [D loss: 2.048955, acc.: 82.81%, op_acc: 42.19%] [G loss: 3.397186]
249 [D loss: 1.918627, acc.: 84.38%, op_acc: 48.44%] [G loss: 3.194036]
250 [D loss: 2.011753, acc.: 81.25%, op_acc: 46.88%] [G loss: 3.435247]
251 [D loss: 2.106004, acc.: 81.25%, op_acc: 43.75%] [G loss: 3.331998]
252 [D loss: 1.819822, acc.: 84.38%, op_acc: 42.19%] [G loss: 3.198267]
253 [D loss: 2.035346, acc.: 85.94%, op_acc: 40.62%] [G loss: 3.294047]
254 [D loss: 1.893492, acc.: 81.25%, op_acc: 39.06%] [G loss: 3.157359]
255 [D loss: 2.071682, acc.: 79.69%, op_acc: 42.19%] [G loss: 3.189233]
256 [D loss: 1.936715, acc.: 81.25%, op_acc: 45.31%] [G loss: 3.430717]
257 [D loss: 2.156840, acc.: 82.81%, op_acc: 31.25%] [G loss: 3.170561]
258 [D loss: 1.978042, acc.: 82.81%, op_acc: 40.62%] [G loss: 3.065207]
259 [D loss: 1.629003, acc.: 81.25%, op_acc: 57.81%] [G loss: 2.935905]
260 [D loss: 1.820351, acc.: 87.50%, op_acc: 46.88%] [G loss: 3.156431]
261 [D loss: 1.805593, acc.: 84.38%, op_acc: 46.88%] [G loss: 3.199344]
262 [D loss: 1.907279, acc.: 89.06%, op_acc: 45.31%] [G loss: 3.204553]
263 [D loss: 2.044865, acc.: 81.25%, op_acc: 43.75%] [G loss: 3.464511]
264 [D loss: 1.690009, acc.: 82.81%, op_acc: 54.69%] [G loss: 3.299648]
265 [D loss: 1.792081, acc.: 92.19%, op_acc: 54.69%] [G loss: 3.745034]
266 [D loss: 1.598441, acc.: 93.75%, op_acc: 45.31%] [G loss: 3.525533]
267 [D loss: 1.858252, acc.: 87.50%, op_acc: 40.62%] [G loss: 3.910416]
268 [D loss: 1.744080, acc.: 84.38%, op_acc: 48.44%] [G loss: 3.816327]
269 [D loss: 1.986462, acc.: 76.56%, op_acc: 39.06%] [G loss: 3.717099]
270 [D loss: 1.803325, acc.: 79.69%, op_acc: 54.69%] [G loss: 3.474586]
271 [D loss: 1.612674, acc.: 89.06%, op_acc: 57.81%] [G loss: 3.339598]
272 [D loss: 1.898441, acc.: 89.06%, op_acc: 40.62%] [G loss: 3.563715]
273 [D loss: 1.980832, acc.: 73.44%, op_acc: 51.56%] [G loss: 3.806052]
274 [D loss: 1.937382, acc.: 85.94%, op_acc: 42.19%] [G loss: 3.468906]
275 [D loss: 1.945182, acc.: 82.81%, op_acc: 35.94%] [G loss: 3.406645]
276 [D loss: 1.731760, acc.: 90.62%, op_acc: 50.00%] [G loss: 4.274269]
277 [D loss: 1.534621, acc.: 95.31%, op_acc: 57.81%] [G loss: 3.613001]
278 [D loss: 1.917520, acc.: 92.19%, op_acc: 43.75%] [G loss: 3.688747]
279 [D loss: 1.842451, acc.: 85.94%, op_acc: 35.94%] [G loss: 3.753122]
280 [D loss: 1.700562, acc.: 90.62%, op_acc: 50.00%] [G loss: 3.637889]
281 [D loss: 1.840434, acc.: 92.19%, op_acc: 45.31%] [G loss: 4.329855]
282 [D loss: 1.829088, acc.: 89.06%, op_acc: 45.31%] [G loss: 3.992824]
283 [D loss: 1.902038, acc.: 87.50%, op_acc: 43.75%] [G loss: 3.646258]
284 [D loss: 1.620413, acc.: 95.31%, op_acc: 48.44%] [G loss: 4.021793]
285 [D loss: 1.910003, acc.: 92.19%, op_acc: 42.19%] [G loss: 3.764575]
286 [D loss: 1.587590, acc.: 96.88%, op_acc: 50.00%] [G loss: 3.965180]
287 [D loss: 1.740791, acc.: 92.19%, op_acc: 37.50%] [G loss: 3.372642]
288 [D loss: 1.692225, acc.: 95.31%, op_acc: 53.12%] [G loss: 3.564006]
289 [D loss: 1.840111, acc.: 90.62%, op_acc: 42.19%] [G loss: 3.999080]
290 [D loss: 1.793245, acc.: 93.75%, op_acc: 45.31%] [G loss: 3.997344]
291 [D loss: 1.792385, acc.: 90.62%, op_acc: 43.75%] [G loss: 3.936331]
292 [D loss: 1.645504, acc.: 95.31%, op_acc: 42.19%] [G loss: 3.306717]
293 [D loss: 1.933794, acc.: 82.81%, op_acc: 42.19%] [G loss: 3.209929]
294 [D loss: 1.885102, acc.: 71.88%, op_acc: 48.44%] [G loss: 2.890556]
295 [D loss: 1.712432, acc.: 70.31%, op_acc: 59.38%] [G loss: 2.719315]
296 [D loss: 1.739060, acc.: 79.69%, op_acc: 54.69%] [G loss: 2.891339]
297 [D loss: 2.081633, acc.: 70.31%, op_acc: 45.31%] [G loss: 2.812521]
298 [D loss: 1.720594, acc.: 79.69%, op_acc: 59.38%] [G loss: 2.888982]
299 [D loss: 1.874118, acc.: 75.00%, op_acc: 56.25%] [G loss: 2.633875]
300 [D loss: 1.993112, acc.: 64.06%, op_acc: 45.31%] [G loss: 2.591718]
301 [D loss: 2.147895, acc.: 67.19%, op_acc: 40.62%] [G loss: 2.746164]
302 [D loss: 2.037791, acc.: 76.56%, op_acc: 50.00%] [G loss: 3.124795]
303 [D loss: 1.877648, acc.: 75.00%, op_acc: 51.56%] [G loss: 3.079193]
